86,这世界很好，但你也不差（打破满意度低幸福感差，这世界真叫人疲倦的死循环。万特特全新作品，《这世界很烦，但你要很可爱》姊妹篇）,万特特,23.30,新世界出版社,http://product.dangdang.com/29272806.html
87,我不敢说，我怕被骂――邓超微博推荐的绘本 带给孩子更多勇气和自信的绘本！,皮姆,19.90,北京联合出版公司,http://product.dangdang.com/27942695.html
88,毛泽东选集（全四册，32开）,毛泽东,75.30,人民出版社,http://product.dangdang.com/23413230.html
89,丰子恺万般滋味，都是生活,丰子恺,21.00,华中科技大学出版社,http://product.dangdang.com/25308985.html
90,走遍世界 图说天下 寻梦之旅,王秀莉,22.60,四川人民出版社,http://product.dangdang.com/29174191.html
91,文化苦旅（余秋雨定稿版 ，作者直接授权，逐字修订！ ）,余秋雨,26.00,北京联合出版有限公司,http://product.dangdang.com/28541326.html
92,歪歪兔逆商教育系列图画书合集全20册（儿童情绪与行为引导培养，逆商培养挫折教育，歪歪兔童书馆出品）,歪歪兔关键期早教项目组,62.40,海豚出版社,http://product.dangdang.com/29277061.html
93,青铜葵花正版曹文轩纯美小说7-8-9-10-12岁草房子系列儿童文学校园青少年版四五六年级下册小学生课外阅读书籍全套原版完整版,曹文轩,15.80,江苏少年儿童出版社,http://product.dangdang.com/23949032.html
94,世界上最棒的礼物――图画中隐藏无数细节，让小小孩玩过瘾！,赖马,22.90,北京联合出版有限公司,http://product.dangdang.com/27909397.html
95,学会管自己幼儿版-歪歪兔自控力教育系列绘本（全10册，幼儿园情绪管理与时间管理绘本）,歪歪兔关键期早教项目组,34.30,海豚出版社,http://product.dangdang.com/25083136.html
96,沉默的大多数（爱智慧、爱自由、反对愚蠢，读王小波的“上头之选”！依据王小波手稿、生前定稿修订多年讹误，SHOU度以读者视角排定蕞佳阅读顺序。）,王小波,29.50,北京十月文艺出版社,http://product.dangdang.com/29176568.html
97,一九八四（又译“1984”。奥威尔代表作，反乌托邦杰作之一）,乔治・奥威尔,15.00,时代文艺出版社,http://product.dangdang.com/25215594.html
98,我爸爸+我妈妈（全2册）――清华附小推荐经典儿童绘本 ！（启发童书馆出品）,安东尼,39.80,河北教育出版社,http://product.dangdang.com/27913770.html
99,这世界很烦，但你要很可爱 专享版（只要你可爱，这个世界也会变得可爱）,杨红,23.00,水利水电出版社,http://product.dangdang.com/29347383.html
100,沉思录,马可.奥勒留,10.00,中央编译出版社,http://product.dangdang.com/20086549.html
101,少年读徐霞客游记（游中国・地理启蒙，全3册）,刘兴诗,50.00,青岛出版社,http://product.dangdang.com/29122655.html
102,红岩,罗广斌,22.70,中国青年出版社,http://product.dangdang.com/25167661.html
103,曹文轩文集-青铜葵花,曹文轩,8.60,天天出版社有限责任公司,http://product.dangdang.com/22506352.html
104,彩虹色的花,麦克,23.00,二十一世纪出版社,http://product.dangdang.com/25311931.html
105,"高效能人士的七个习惯（30周年纪念版）（全新增订版）（新增《纽约时报》畅销肖恩・柯维全新观点,管理大师吉姆・柯林斯作序）",史蒂芬・柯维,43.40,中国青年出版社,http://product.dangdang.com/28979183.html
106,望江南（你一句春不晚，我就到了真江南。茅奖得主王旭烽，沉潜26年，最新长篇小说力作。）,王旭烽,34.00,浙江文艺出版社,http://product.dangdang.com/29367830.html
107,人间失格（日本小说家太宰治代表作，一个对村上春树影响至深的绝望凄美故事）,太宰治,10.10,作家出版社,http://product.dangdang.com/23761145.html
108,世界博物馆奇妙之旅（全5册，为孩子打造的博物通识启蒙绘本，世界文明的纸上艺术之路）,徐晓燕,42.10,浙江教育出版社,http://product.dangdang.com/27907881.html
109,午夜降临前抵达（李健、梁文道、麦家、许知远、俞敏洪推荐，不能出远门的日子，你需要一本旅行文学，附赠精美路线图）,刘子超,40.70,文汇出版社,http://product.dangdang.com/29276881.html
110,果麦经典：了凡四训（“我命由我不由天！”曾国藩、胡适、稻盛和夫推崇的生活方式手册；费勇教授精美译文）,袁了凡,16.00,三秦出版社,http://product.dangdang.com/25157989.html
111,追风筝的人（李雪琴、高圆圆动情推荐，《纽约时报》畅销书榜上榜超100周）,卡勒德・胡赛尼,22.50,上海人民出版社,http://product.dangdang.com/29211508.html
112,那个不为人知的故事,Twentine,21.00,四川文艺出版社,http://product.dangdang.com/29124262.html
113,刀锋（毛姆经典哲思之作，苏州大学方华文教授全新修订&详细注释本）,毛姆,14.80,时代文艺出版社,http://product.dangdang.com/25273833.html
114,围城,钱钟书,23.00,人民文学出版社,http://product.dangdang.com/22819334.html
115,米小圈上学记一年级（套装共4册）,北猫,46.00,四川少年儿童出版社,http://product.dangdang.com/25261327.html
116,沟通的方法（畅销50万册 得到CEO脱不花为你准备的沟通心法，助你职场一路开挂。现在加入沟通的无限游戏吧）,脱不花,49.00,新星出版社,http://product.dangdang.com/29251809.html
117,也许你该找个人聊聊（入选2021豆瓣受关注图书榜、新京报年度阅读推荐榜；心理学泰斗欧文・亚隆推荐，心理学家李松蔚审校并作序）,洛莉・戈特利布,34.00,上海文化出版社,http://product.dangdang.com/29262795.html
118,不可思议的文明奇迹 涵盖历史地理多学科领域 精装版,郭子林,37.50,石油工业出版社,http://product.dangdang.com/29346297.html
119,皮囊（400万册纪念版，直面人生的难题，刻在骨头里的故事，容纳一个个既失去家乡又未到达远方的生命）,蔡崇达,24.90,天津人民出版社,http://product.dangdang.com/27872661.html
120,信谊世界精选图画书-猜猜我有多爱你,山姆・麦克布雷尼,21.90,明天出版社,http://product.dangdang.com/29132118.html
121,真希望我父母读过这本书,菲莉帕・佩里,24.00,中信出版社,http://product.dangdang.com/28997946.html
122,心理抚养,李玫瑾,23.40,上海三联书店,http://product.dangdang.com/29249369.html
123,亲密关系：通往灵魂的桥梁（新版）：杨天真推荐，这本书告诉我们如何穿透自我障碍，用爱酿造幸福秘方,克里斯多福・孟,24.70,湖南文艺出版社,http://product.dangdang.com/26490676.html
124,一间自己的房间（磨铁经典/伍尔夫：女性一定要有钱，要有自己的房间）,弗吉尼亚・伍尔夫,21.00,浙江教育出版社,http://product.dangdang.com/29368075.html
125,人生哲思录（全新修订版）,周国平,39.60,北京十月文艺出版社,http://product.dangdang.com/27925392.html
126,奥特曼系列 视觉志:55周年纪念,上海新创华文化发展有限公司,49.00,安徽少年儿童出版社,http://product.dangdang.com/29342961.html
127,银火箭少年科幻系列・第1辑（8册。“雨果奖”得主、三体作者刘慈欣主编，套装内作者作品曾获银河奖特等奖等多项国际大奖）,刘慈欣,99.80,浙江教育出版社,http://product.dangdang.com/25259302.html
128,不一样的卡梅拉手绘本（1-12册）,克利斯提昂,60.00,２１世纪出版社,http://product.dangdang.com/23257828.html
129,宫西达也恐龙系列全套7册（你看起来好像很好吃+我是霸王龙等）,宫西达也,63.00,２１世纪出版社,http://product.dangdang.com/24079906.html
130,许三观卖血记（2017精装典藏版，增录新版自序）,余华,27.20,北京十月文艺出版社,http://product.dangdang.com/25165143.html
131,理想国（商务印书馆汉译名著权威全译本，精装典藏版）,柏拉图,34.00,商务印书馆,http://product.dangdang.com/28989328.html
132,明朝那些事儿增补版.全集,当年明月,393.00,北京联合出版有限公司,http://product.dangdang.com/29296796.html
133,小熊宝宝绘本（简装全15册）蒲蒲兰经典绘本！新手妈妈的育儿宝典！(0-3岁),佐佐木洋子,48.00,新世纪出版社,http://product.dangdang.com/25289538.html
134,霍乱时期的爱情（《百年孤独》作者马尔克斯传世巨著，展示爱情的所有可能）,哥伦比亚,49.60,南海出版公司,http://product.dangdang.com/28522850.html
135,手不是用来打人的（儿童好品德系列，全5册）孩子多读就见效的习惯养成书，缓解新手爸妈育儿焦虑，王志庚、孙莉莉、朱爱朝推荐,伊丽莎白・弗迪克,49.50,贵州教育出版社,http://product.dangdang.com/25284537.html
136,窗边的小豆豆(2018版),黑柳彻子,27.20,南海出版公司,http://product.dangdang.com/25272786.html
137,沧浪之水（某瓣8.5分，入围茅盾文学奖。职场小白、考公人的启蒙之书。胡军、于和伟主演电视剧岁月原著。2021版）,阎真,22.10,北京十月文艺出版社,http://product.dangdang.com/29270902.html
138,别想太多啦：在复杂的世界里，做一个简单的人（情绪疗愈指南，随手翻开，就能获得舍离烦恼的勇气。）,名取芳彦,24.90,天津人民出版社,http://product.dangdang.com/29201117.html
139,愿你慢慢长大（与刘瑜、周国平、冯唐等名家一起开始一场温柔的教养旅程，聊一聊关于教养的真心话，感受孩子成长的真实意义。）,刘瑜,20.30,北京联合出版有限公司,http://product.dangdang.com/25193588.html
140,如果历史是一群喵9・五代十国篇,肥志,29.90,广东旅游出版社,http://product.dangdang.com/29325171.html
141,刻意练习：如何从新手到大师,安德斯・艾利克森,59.00,机械工业出版社,http://product.dangdang.com/29233018.html
142,神奇校车・图画书版（全12册，新增科学博览会1册）,乔安娜柯尔,108.90,贵州人民出版社,http://product.dangdang.com/25252408.html
143,小英雄雨来 （读经典，悼念不朽的少年英雄，传承红色爱国思想。新版本，手绘精美插图）,管桦,13.10,辽宁少年儿童出版社,http://product.dangdang.com/27869317.html
144,趣说中国史：如果把中国422位皇帝放在一个群里，他们会聊些什么？,趣哥,24.90,台海出版社,http://product.dangdang.com/29151341.html
145,外婆的道歉信（外婆说，要大笑要做梦要与众不同。人生是一场伟大的冒险。销量突破100万册。随书附赠一封神秘道歉信）,弗雷德里克・巴克曼,21.00,天津人民出版社,http://product.dangdang.com/25072421.html
146,美国儿科学会育儿百科（第7版）,塔尼娅・奥尔特曼,64.80,北京科学技术出版社,http://product.dangdang.com/29133667.html
